Timestamp,User,EventType,CommandLine,Message
2025-06-15 10:37,charlie,LoginFailure,,Account locked
2025-06-15 23:43,bob,FileAccess,,Accessed confidential file
2025-06-15 16:57,admin,ProcessCreate,cmd.exe,Executed script
2025-06-15 21:45,charlie,LoginFailure,,Failed login attempt
2025-06-15 10:58,bob,PrivilegeEscalation,,Elevated to SYSTEM
2025-06-15 16:02,admin,LoginFailure,,Invalid credentials
2025-06-15 15:57,admin,PrivilegeEscalation,,User added to admin group
2025-06-15 17:33,alice,PrivilegeEscalation,,Elevated to SYSTEM
2025-06-15 23:18,alice,FileAccess,,Attempted to read sensitive.txt
2025-06-16 0:35,charlie,ProcessCreate,net user,Executed script
2025-06-15 12:52,charlie,ProcessCreate,net localgroup administrators,Launched powershell.exe
2025-06-15 14:33,charlie,LoginFailure,,Account locked
2025-06-15 11:24,charlie,ProcessCreate,net localgroup administrators,Started cmd.exe
2025-06-15 22:39,bob,ProcessCreate,net user,Started cmd.exe
2025-06-15 15:33,admin,PrivilegeEscalation,,Elevated to SYSTEM
2025-06-15 14:37,charlie,FileAccess,,Attempted to read sensitive.txt
2025-06-15 11:49,charlie,ProcessCreate,cmd.exe,Started cmd.exe
2025-06-15 12:40,charlie,LoginFailure,,Failed login attempt
2025-06-15 11:07,bob,PrivilegeEscalation,,User added to admin group
2025-06-15 17:13,admin,LoginFailure,,Invalid credentials
2025-06-15 12:46,charlie,ProcessCreate,net user,Executed script
2025-06-15 10:39,alice,FileAccess,,Attempted to read sensitive.txt
2025-06-15 17:27,admin,PrivilegeEscalation,,Elevated to SYSTEM
2025-06-15 21:41,charlie,FileAccess,,Attempted to read sensitive.txt
2025-06-15 10:51,admin,ProcessCreate,whoami,Started cmd.exe
2025-06-15 11:06,charlie,FileAccess,,Accessed confidential file
2025-06-15 8:44,admin,FileAccess,,Attempted to read sensitive.txt
2025-06-15 20:01,bob,ProcessCreate,powershell.exe,Executed script
2025-06-15 8:41,admin,ProcessCreate,net localgroup administrators,Launched powershell.exe
2025-06-15 8:52,bob,LoginFailure,,Account locked
2025-06-15 19:09,bob,LoginFailure,,Invalid credentials
2025-06-15 14:48,charlie,FileAccess,,Attempted to read sensitive.txt
2025-06-15 15:49,admin,LoginFailure,,Account locked
2025-06-15 15:35,admin,ProcessCreate,powershell.exe,Launched powershell.exe
2025-06-15 17:05,admin,LoginFailure,,Invalid credentials
2025-06-15 15:03,alice,PrivilegeEscalation,,User added to admin group
2025-06-15 21:08,bob,PrivilegeEscalation,,Elevated to SYSTEM
2025-06-15 8:50,alice,LoginFailure,,Invalid credentials
2025-06-15 10:01,charlie,FileAccess,,Attempted to read sensitive.txt
